history_id,project_id,project_name,team_size,tools_used,completion_days,success_score
HIS0001,PRJ0102,Healthcare Diagnosis AI,8,LangChain;FastAPI,40,0.79
HIS0002,PRJ0033,Autonomous AI Research Agent,8,Redis;Python;PostgreSQL;TensorFlow,32,0.8
HIS0003,PRJ0112,Document Summarization AI,5,Redis;Python;FastAPI,47,0.97
HIS0004,PRJ0051,AI Sales Assistant,8,TensorFlow;PostgreSQL;LangChain,34,0.81
HIS0005,PRJ0179,Customer Support Chatbot,5,Redis;TensorFlow;FastAPI;Python,20,0.81
HIS0006,PRJ0165,Smart Inventory Prediction,8,Python;TensorFlow;Redis;PostgreSQL,37,0.81
HIS0007,PRJ0102,Autonomous AI Research Agent,7,FastAPI;Redis,53,0.9
HIS0008,PRJ0137,Autonomous AI Research Agent,5,LangChain;Python,45,0.89
HIS0009,PRJ0017,Autonomous AI Research Agent,4,PostgreSQL;Redis,51,0.96
HIS0010,PRJ0093,Smart Inventory Prediction,7,PostgreSQL;FastAPI;LangChain,33,0.86
HIS0011,PRJ0069,Healthcare Diagnosis AI,5,FastAPI;Redis,34,0.95
HIS0012,PRJ0057,Healthcare Diagnosis AI,5,LangChain;TensorFlow,18,0.78
HIS0013,PRJ0004,Smart Inventory Prediction,6,Redis;PostgreSQL;FastAPI,54,0.92
HIS0014,PRJ0135,Document Summarization AI,6,Python;FastAPI;PostgreSQL;TensorFlow,28,0.96
HIS0015,PRJ0119,Autonomous AI Research Agent,5,FastAPI;LangChain,29,0.91
HIS0016,PRJ0085,Smart Inventory Prediction,3,PostgreSQL;Python,27,0.82
HIS0017,PRJ0101,Healthcare Diagnosis AI,6,LangChain;Redis;Python,57,0.9
HIS0018,PRJ0130,AI Sales Assistant,6,PostgreSQL;LangChain;FastAPI;Python,37,0.83
HIS0019,PRJ0124,Customer Support Chatbot,3,LangChain;Python;Redis;FastAPI,28,0.82
HIS0020,PRJ0026,Document Summarization AI,8,Python;TensorFlow;FastAPI;PostgreSQL,34,0.79
HIS0021,PRJ0058,AI Sales Assistant,3,LangChain;Python;Redis,57,0.76
HIS0022,PRJ0125,Document Summarization AI,8,FastAPI;Redis,23,0.82
HIS0023,PRJ0187,Autonomous AI Research Agent,3,Redis;Python;TensorFlow;PostgreSQL,53,0.87
HIS0024,PRJ0027,Customer Support Chatbot,7,TensorFlow;Redis;FastAPI;PostgreSQL,39,0.79
HIS0025,PRJ0073,Healthcare Diagnosis AI,6,FastAPI;Redis;TensorFlow;Python,53,0.91
HIS0026,PRJ0129,Document Summarization AI,7,PostgreSQL;LangChain,32,0.96
HIS0027,PRJ0107,Autonomous AI Research Agent,7,LangChain;Redis;PostgreSQL,47,0.79
HIS0028,PRJ0091,AI Sales Assistant,6,PostgreSQL;Python,34,0.84
HIS0029,PRJ0058,Fraud Detection System,4,Redis;Python;PostgreSQL,16,0.95
HIS0030,PRJ0050,AI Sales Assistant,8,Redis;Python;PostgreSQL,30,0.87
HIS0031,PRJ0146,Autonomous AI Research Agent,3,PostgreSQL;Redis,53,0.95
HIS0032,PRJ0030,Autonomous AI Research Agent,8,PostgreSQL;Python;FastAPI,48,0.91
HIS0033,PRJ0076,AI Sales Assistant,3,Python;Redis;TensorFlow,43,0.85
HIS0034,PRJ0132,Customer Support Chatbot,6,PostgreSQL;FastAPI,49,0.87
HIS0035,PRJ0199,Healthcare Diagnosis AI,5,Python;Redis;FastAPI,44,0.97
HIS0036,PRJ0047,AI Sales Assistant,8,Python;PostgreSQL,55,0.81
HIS0037,PRJ0074,Healthcare Diagnosis AI,4,FastAPI;PostgreSQL;LangChain,32,0.78
HIS0038,PRJ0034,AI Sales Assistant,5,Python;PostgreSQL,24,0.9
HIS0039,PRJ0030,Healthcare Diagnosis AI,5,FastAPI;Python,36,0.79
HIS0040,PRJ0085,Smart Inventory Prediction,3,LangChain;PostgreSQL,23,0.96
HIS0041,PRJ0073,Fraud Detection System,6,TensorFlow;Python;FastAPI;PostgreSQL,40,0.85
HIS0042,PRJ0198,Customer Support Chatbot,3,TensorFlow;FastAPI;Redis;Python,23,0.93
HIS0043,PRJ0175,Smart Inventory Prediction,6,TensorFlow;LangChain,42,0.81
HIS0044,PRJ0114,AI Sales Assistant,4,PostgreSQL;Python;LangChain;Redis,51,0.91
HIS0045,PRJ0020,Autonomous AI Research Agent,6,LangChain;Redis,49,0.98
HIS0046,PRJ0044,Healthcare Diagnosis AI,4,Python;TensorFlow,22,0.8
HIS0047,PRJ0090,AI Sales Assistant,4,FastAPI;TensorFlow;Python,47,0.84
HIS0048,PRJ0049,AI Sales Assistant,8,PostgreSQL;TensorFlow;Python;LangChain,19,0.76
HIS0049,PRJ0007,AI Sales Assistant,5,PostgreSQL;FastAPI;Python;LangChain,20,0.76
HIS0050,PRJ0034,Fraud Detection System,5,FastAPI;PostgreSQL;Redis;LangChain,36,0.91
HIS0051,PRJ0150,Document Summarization AI,3,FastAPI;Redis;LangChain,38,0.76
HIS0052,PRJ0114,Healthcare Diagnosis AI,8,Redis;PostgreSQL;LangChain,43,0.91
HIS0053,PRJ0133,AI Sales Assistant,8,Python;FastAPI;PostgreSQL;LangChain,60,0.79
HIS0054,PRJ0170,Customer Support Chatbot,5,PostgreSQL;LangChain;TensorFlow,47,0.87
HIS0055,PRJ0110,Autonomous AI Research Agent,6,FastAPI;TensorFlow;PostgreSQL;LangChain,36,0.77
HIS0056,PRJ0084,Smart Inventory Prediction,4,PostgreSQL;Redis;FastAPI,24,0.86
HIS0057,PRJ0044,Customer Support Chatbot,6,Python;Redis,37,0.77
HIS0058,PRJ0097,Healthcare Diagnosis AI,5,TensorFlow;FastAPI;LangChain,16,0.82
HIS0059,PRJ0061,AI Sales Assistant,3,FastAPI;Python,47,0.91
HIS0060,PRJ0190,Healthcare Diagnosis AI,3,LangChain;FastAPI;PostgreSQL;Python,41,0.89
HIS0061,PRJ0045,AI Sales Assistant,7,TensorFlow;Redis,51,0.95
HIS0062,PRJ0140,Autonomous AI Research Agent,6,FastAPI;Redis;Python,54,0.78
HIS0063,PRJ0182,Healthcare Diagnosis AI,3,FastAPI;Python;LangChain,15,0.81
HIS0064,PRJ0023,Customer Support Chatbot,8,Redis;PostgreSQL;TensorFlow;FastAPI,37,0.96
HIS0065,PRJ0020,Healthcare Diagnosis AI,5,Redis;Python;TensorFlow,57,0.88
HIS0066,PRJ0119,Document Summarization AI,7,TensorFlow;PostgreSQL,55,0.86
HIS0067,PRJ0017,Customer Support Chatbot,5,FastAPI;PostgreSQL,21,0.8
HIS0068,PRJ0184,Autonomous AI Research Agent,4,PostgreSQL;Redis,37,0.93
HIS0069,PRJ0126,Customer Support Chatbot,8,TensorFlow;PostgreSQL,57,0.89
HIS0070,PRJ0045,Customer Support Chatbot,7,FastAPI;Redis,19,0.98
HIS0071,PRJ0125,AI Sales Assistant,3,PostgreSQL;Python;TensorFlow,30,0.9
HIS0072,PRJ0051,Smart Inventory Prediction,7,FastAPI;TensorFlow;LangChain,16,0.96
HIS0073,PRJ0019,Autonomous AI Research Agent,4,Redis;Python;PostgreSQL;FastAPI,44,0.85
HIS0074,PRJ0122,Fraud Detection System,6,FastAPI;Python;PostgreSQL,19,0.96
HIS0075,PRJ0148,Fraud Detection System,3,FastAPI;Redis;LangChain;Python,42,0.88
HIS0076,PRJ0057,Smart Inventory Prediction,3,PostgreSQL;LangChain;Python,16,0.93
HIS0077,PRJ0146,Healthcare Diagnosis AI,3,Redis;Python;TensorFlow,53,0.89
HIS0078,PRJ0016,Document Summarization AI,4,Python;Redis;PostgreSQL;LangChain,38,0.93
HIS0079,PRJ0176,Autonomous AI Research Agent,4,Redis;FastAPI;PostgreSQL;LangChain,32,0.86
HIS0080,PRJ0194,AI Sales Assistant,6,FastAPI;Redis;PostgreSQL,25,0.78
HIS0081,PRJ0151,Smart Inventory Prediction,3,FastAPI;LangChain;Python;PostgreSQL,27,0.89
HIS0082,PRJ0172,Healthcare Diagnosis AI,3,Python;LangChain;PostgreSQL;FastAPI,18,0.77
HIS0083,PRJ0091,Autonomous AI Research Agent,3,TensorFlow;PostgreSQL;FastAPI;Python,57,0.91
HIS0084,PRJ0179,Fraud Detection System,7,Redis;TensorFlow,60,0.86
HIS0085,PRJ0093,Smart Inventory Prediction,5,LangChain;FastAPI;PostgreSQL,33,0.94
HIS0086,PRJ0118,Smart Inventory Prediction,7,LangChain;Python;FastAPI;TensorFlow,57,0.85
HIS0087,PRJ0055,Fraud Detection System,8,Redis;TensorFlow;PostgreSQL,29,0.76
HIS0088,PRJ0189,Document Summarization AI,5,LangChain;PostgreSQL,40,0.88
HIS0089,PRJ0022,Autonomous AI Research Agent,8,Python;FastAPI,44,0.89
HIS0090,PRJ0061,Smart Inventory Prediction,4,TensorFlow;PostgreSQL;Redis,15,0.86
HIS0091,PRJ0044,Healthcare Diagnosis AI,5,Python;TensorFlow;FastAPI;LangChain,17,0.95
HIS0092,PRJ0025,Smart Inventory Prediction,5,Redis;FastAPI;TensorFlow;PostgreSQL,54,0.94
HIS0093,PRJ0072,Customer Support Chatbot,4,Python;LangChain;TensorFlow;PostgreSQL,51,0.83
HIS0094,PRJ0016,Autonomous AI Research Agent,5,PostgreSQL;TensorFlow;Python,20,0.9
HIS0095,PRJ0137,Fraud Detection System,5,Redis;FastAPI,26,0.84
HIS0096,PRJ0133,Autonomous AI Research Agent,8,Redis;Python;LangChain,18,0.78
HIS0097,PRJ0025,Document Summarization AI,8,Redis;PostgreSQL,45,0.78
HIS0098,PRJ0144,Fraud Detection System,3,Python;TensorFlow;Redis,19,0.79
HIS0099,PRJ0051,AI Sales Assistant,3,Redis;FastAPI;TensorFlow;LangChain,20,0.88
HIS0100,PRJ0116,Fraud Detection System,4,Redis;FastAPI;TensorFlow,21,0.84
HIS0101,PRJ0032,Fraud Detection System,5,PostgreSQL;Redis;Python;TensorFlow,40,0.94
HIS0102,PRJ0050,Autonomous AI Research Agent,6,Redis;Python,54,0.84
HIS0103,PRJ0088,Document Summarization AI,8,TensorFlow;FastAPI,26,0.92
HIS0104,PRJ0116,AI Sales Assistant,7,TensorFlow;Redis;LangChain,37,0.95
HIS0105,PRJ0038,Smart Inventory Prediction,7,PostgreSQL;Python;LangChain;TensorFlow,34,0.87
HIS0106,PRJ0050,Customer Support Chatbot,8,Redis;TensorFlow;Python,45,0.97
HIS0107,PRJ0082,Document Summarization AI,8,PostgreSQL;LangChain;TensorFlow,38,0.96
HIS0108,PRJ0005,Customer Support Chatbot,5,PostgreSQL;LangChain,23,0.84
HIS0109,PRJ0119,Smart Inventory Prediction,3,TensorFlow;FastAPI;LangChain,30,0.94
HIS0110,PRJ0086,Autonomous AI Research Agent,7,TensorFlow;LangChain,56,0.94
HIS0111,PRJ0024,Healthcare Diagnosis AI,3,LangChain;TensorFlow;PostgreSQL,18,0.86
HIS0112,PRJ0037,AI Sales Assistant,7,Python;LangChain;TensorFlow;FastAPI,44,0.97
HIS0113,PRJ0054,Healthcare Diagnosis AI,4,FastAPI;Redis,44,0.88
HIS0114,PRJ0051,Customer Support Chatbot,5,Python;PostgreSQL;TensorFlow;LangChain,26,0.95
HIS0115,PRJ0045,Smart Inventory Prediction,4,PostgreSQL;Redis,46,0.95
HIS0116,PRJ0148,Autonomous AI Research Agent,5,TensorFlow;LangChain;PostgreSQL;Redis,31,0.93
HIS0117,PRJ0009,Smart Inventory Prediction,7,Redis;TensorFlow,40,0.93
HIS0118,PRJ0040,Document Summarization AI,7,PostgreSQL;FastAPI;Redis;LangChain,50,0.88
HIS0119,PRJ0040,Fraud Detection System,3,TensorFlow;FastAPI;PostgreSQL,57,0.82
HIS0120,PRJ0162,Smart Inventory Prediction,8,Redis;PostgreSQL;Python;LangChain,42,0.84
HIS0121,PRJ0193,Document Summarization AI,4,Python;LangChain,34,0.79
HIS0122,PRJ0053,Healthcare Diagnosis AI,7,PostgreSQL;Redis;Python,38,0.76
HIS0123,PRJ0085,Customer Support Chatbot,5,FastAPI;TensorFlow,20,0.8
HIS0124,PRJ0008,Autonomous AI Research Agent,7,TensorFlow;LangChain;PostgreSQL;Redis,45,0.89
HIS0125,PRJ0172,Document Summarization AI,5,TensorFlow;LangChain,19,0.92
HIS0126,PRJ0068,Smart Inventory Prediction,5,PostgreSQL;Redis,39,0.82
HIS0127,PRJ0123,Healthcare Diagnosis AI,5,LangChain;Python;PostgreSQL,29,0.81
